sigungu_code,sigungu_name,gwangyeok,demand_score,trend_vs_2019
11010,종로구,Seoul,70,-6
11020,중구,Seoul,92,8
11030,용산구,Seoul,70,-11
11040,성동구,Seoul,61,-14
11050,광진구,Seoul,83,6
11060,동대문구,Seoul,60,-20
11070,중랑구,Seoul,83,1
11080,성북구,Seoul,68,-13
11090,강북구,Seoul,91,13
11100,도봉구,Seoul,85,7
11110,노원구,Seoul,62,-13
11120,은평구,Seoul,96,12
11130,서대문구,Seoul,74,-8
11140,마포구,Seoul,71,-5
11150,양천구,Seoul,94,15
11160,강서구,Seoul,83,0
11170,구로구,Seoul,60,-20
11180,금천구,Seoul,61,-14
11190,영등포구,Seoul,83,0
11200,동작구,Seoul,93,9
11210,관악구,Seoul,71,-6
11220,서초구,Seoul,93,14
11230,강남구,Seoul,82,0
11240,송파구,Seoul,61,-19
11250,강동구,Seoul,84,6
21010,중구,Busan,92,8
21020,서구,Busan,58,-17
21030,동구,Busan,80,3
21040,영도구,Busan,83,0
21050,부산진구,Busan,60,-20
21060,동래구,Busan,72,-5
21070,남구,Busan,94,15
21080,북구,Busan,91,7
21090,해운대구,Busan,57,-18
21100,사하구,Busan,79,-3
21110,금정구,Busan,56,17
21120,강서구,Busan,79,2
21130,연제구,Busan,57,-18
21140,수영구,Busan,92,9
21150,사상구,Busan,70,-11
21310,기장군,Busan,83,6
22010,중구,Daegu,16,16
22020,동구,Daegu,39,-3
22030,서구,Daegu,16,-18
22040,남구,Daegu,40,3
22050,북구,Daegu,29,-12
22060,수성구,Daegu,52,8
22070,달서구,Daegu,30,-6
22310,달성군,Daegu,32,-9
23010,중구,Incheon,15,16
23020,동구,Incheon,39,1
23030,남구,Incheon,16,-19
23040,연수구,Incheon,51,8
23050,남동구,Incheon,29,-12
23060,부평구,Incheon,52,13
23070,계양구,Incheon,29,-7
23080,서구,Incheon,59,15
23310,강화군,Incheon,33,-4
23320,옹진군,Incheon,22,-18
24010,동구,Gwangju,17,17
24020,서구,Gwangju,27,-13
24030,남구,Gwangju,50,12
24040,북구,Gwangju,59,-20
24050,광산구,Gwangju,48,5
25010,동구,Daejeon,16,17
25020,중구,Daejeon,27,-9
25030,서구,Daejeon,49,11
25040,유성구,Daejeon,25,-15
25050,대덕구,Daejeon,48,5
26010,중구,Ulsan,48,4
26020,남구,Ulsan,25,-16
26030,동구,Ulsan,48,10
26040,북구,Ulsan,45,7
26310,울주군,Ulsan,43,1
29010,세종시,Sejong,30,-7
31011,수원시장안구,Gyeonggi,46,3
31012,수원시권선구,Gyeonggi,37,0
31013,수원시팔달구,Gyeonggi,44,1
31014,수원시영통구,Gyeonggi,47,4
31021,성남시수정구,Gyeonggi,22,-13
31022,성남시중원구,Gyeonggi,28,-13
31023,성남시분당구,Gyeonggi,21,-14
31030,의정부시,Gyeonggi,53,9
31041,안양시만안구,Gyeonggi,43,6
31042,안양시동안구,Gyeonggi,52,8
31050,부천시,Gyeonggi,28,-8
31060,광명시,Gyeonggi,50,12
31070,평택시,Gyeonggi,39,-3
31080,동두천시,Gyeonggi,42,5
31091,안산시상록구,Gyeonggi,25,-15
31092,안산시단원구,Gyeonggi,28,-13
31101,고양시덕양구,Gyeonggi,16,16
31103,고양시일산동구,Gyeonggi,52,13
31104,고양시일산서구,Gyeonggi,57,13
31110,과천시,Gyeonggi,32,-10
31120,구리시,Gyeonggi,54,10
31130,남양주시,Gyeonggi,20,-15
31140,오산시,Gyeonggi,41,4
31150,시흥시,Gyeonggi,18,-22
31160,군포시,Gyeonggi,40,-2
31170,의왕시,Gyeonggi,52,13
31180,하남시,Gyeonggi,33,-3
31191,용인시처인구,Gyeonggi,59,15
31192,용인시기흥구,Gyeonggi,54,15
31193,용인시수지구,Gyeonggi,58,14
31200,파주시,Gyeonggi,18,-17
31210,이천시,Gyeonggi,40,3
31220,안성시,Gyeonggi,17,18
31230,김포시,Gyeonggi,40,-2
31240,화성시,Gyeonggi,49,11
31250,광주시,Gyeonggi,27,-9
