사업장명,영업상태명,상세영업상태명,업태구분명,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),sigungu_code,lng,lat
용산 삼계탕집,영업/정상,영업중,한식,서울특별시 용산구 한강대로,서울특별시 용산구 한강대로 100,,,11030,126.9779,37.5384
이태원 할랄 케밥,영업/정상,영업중,기타 외국식,서울특별시 용산구 이태원로,서울특별시 용산구 이태원로 45,,,11030,126.9946,37.5345
이스탄불 케밥 하우스,영업/정상,영업중,기타 외국식,서울특별시 용산구 우사단로,서울특별시 용산구 우사단로 12,,,11030,126.9925,37.5341
용산 한우곰탕,영업/정상,영업중,한식,서울특별시 용산구 백범로,서울특별시 용산구 백범로 8,,,11030,126.9662,37.5389
남대문 돼지국밥,영업/정상,영업중,한식,서울특별시 중구 남대문로,서울특별시 중구 남대문로 3,,,11020,126.9779,37.5601
명동 칼국수,영업/정상,영업중,한식,서울특별시 중구 명동길,서울특별시 중구 명동길 20,,,11020,126.9853,37.5636
종로 설렁탕,영업/정상,영업중,한식,서울특별시 종로구 종로,서울특별시 종로구 종로 51,,,11010,126.9895,37.5704
인사동 사찰음식,영업/정상,영업중,한식,서울특별시 종로구 인사동길,서울특별시 종로구 인사동길 30,,,11010,126.9856,37.5740
종로 삼겹살하우스,영업/정상,영업중,한식,서울특별시 종로구 자하문로,서울특별시 종로구 자하문로 5,,,11010,126.9700,37.5800
강남 초밥,영업/정상,영업중,일식,서울특별시 강남구 강남대로,서울특별시 강남구 강남대로 400,,,11230,127.0276,37.4979
강남 순대국,영업/정상,영업중,한식,서울특별시 강남구 테헤란로,서울특별시 강남구 테헤란로 120,,,11230,127.0330,37.5000
홍대 감성주점 나이트,영업/정상,영업중,감성주점,서울특별시 마포구 어울마당로,서울특별시 마포구 어울마당로 60,,,11140,126.9230,37.5550
마포 물회집,영업/정상,영업중,한식,서울특별시 마포구 월드컵로,서울특별시 마포구 월드컵로 20,,,11140,126.9100,37.5560
부산 영도 회센터,영업/정상,영업중,한식,부산광역시 영도구 태종로,부산광역시 영도구 태종로 100,,,21040,129.0680,35.0790
영도 조개구이,영업/정상,영업중,한식,부산광역시 영도구 절영로,부산광역시 영도구 절영로 30,,,21040,129.0730,35.0850
영도 돼지국밥명가,영업/정상,영업중,한식,부산광역시 영도구 와치로,부산광역시 영도구 와치로 10,,,21040,129.0700,35.0900
부산 서면 닭갈비,영업/정상,영업중,한식,부산광역시 부산진구 중앙대로,부산광역시 부산진구 중앙대로 700,,,21050,129.0590,35.1580
해운대 대구탕,영업/정상,영업중,한식,부산광역시 해운대구 구남로,부산광역시 해운대구 구남로 25,,,21090,129.1600,35.1590
해운대 곱창골목,영업/정상,영업중,한식,부산광역시 해운대구 구남로,부산광역시 해운대구 구남로 27,,,21090,129.1610,35.1592
음성 백숙마을,영업/정상,영업중,한식,충청북도 음성군 음성읍 중앙로,충청북도 음성군 음성읍 중앙로 15,,,33370,127.6900,36.9400
음성 한우타운,영업/정상,영업중,한식,충청북도 음성군 대소면 대금로,충청북도 음성군 대소면 대금로 8,,,33370,127.5700,36.9900
음성 족발보쌈,영업/정상,영업중,한식,충청북도 음성군 금왕읍 금석로,충청북도 음성군 금왕읍 금석로 3,,,33370,127.5900,37.0100
청주 삼계탕,영업/정상,영업중,한식,충청북도 청주시 상당구 상당로,충청북도 청주시 상당구 상당로 55,,,33041,127.4890,36.6360
전주 비빔밥나물집,영업/정상,영업중,한식,전라북도 전주시 완산구 전주객사3길,전라북도 전주시 완산구 전주객사3길 22,,,35011,127.1480,35.8160
전주 콩나물국밥,영업/정상,영업중,한식,전라북도 전주시 완산구 풍남문2길,전라북도 전주시 완산구 풍남문2길 5,,,35011,127.1500,35.8140
경주 쌈밥한정식,영업/정상,영업중,한식,경상북도 경주시 첨성로,경상북도 경주시 첨성로 77,,,37020,129.2090,35.8360
경주 두부마을,영업/정상,영업중,한식,경상북도 경주시 불국로,경상북도 경주시 불국로 340,,,37020,129.3320,35.7900
인천 차이나타운 짬뽕,영업/정상,영업중,중식,인천광역시 중구 차이나타운로,인천광역시 중구 차이나타운로 44,,,23010,126.6180,37.4750
인천 강화 새우젓백반,영업/정상,영업중,한식,인천광역시 강화군 강화읍 강화대로,인천광역시 강화군 강화읍 강화대로 100,,,23310,126.4850,37.7470
파리 비스트로,영업/정상,영업중,양식,서울특별시 용산구 이태원로,서울특별시 용산구 이태원로 55,,,11030,2.3500,48.8500
